termo,termo_normalizado,codigo_cnae,descricao,relevancia,categoria,secao,divisao,grupo,classe,subclasse,origem,tipo
Cultivo de arroz,cultivo de arroz,0111301,Cultivo de arroz,100,atividades,A,01,011,0111,0111301,descrição oficial,nome_oficial
Cultivo,cultivo,0111301,Cultivo de arroz,85,cultivo,A,01,011,0111,0111301,atividade agrícola,produto
Cultivo,cultivo,0111301,Cultivo de arroz,85,cultivo,A,01,011,0111,0111301,atividade agrícola,produto
Arroz,arroz,0111301,Cultivo de arroz,85,arroz,A,01,011,0111,0111301,classificação semântica,atividade
Arroz,arroz,0111301,Cultivo de arroz,85,arroz,A,01,011,0111,0111301,classificação semântica,atividade
Cultivo de arroz,cultivo de arroz,0111301,Cultivo de arroz,90,descricao_completa,A,01,011,0111,0111301,classificação semântica,palavra_chave
Cultivo de milho,cultivo de milho,0111302,Cultivo de milho,100,atividades,A,01,011,0111,0111302,descrição oficial,nome_oficial
Cultivo,cultivo,0111302,Cultivo de milho,85,cultivo,A,01,011,0111,0111302,atividade agrícola,produto
Cultivo,cultivo,0111302,Cultivo de milho,85,cultivo,A,01,011,0111,0111302,atividade agrícola,produto
Milho,milho,0111302,Cultivo de milho,85,milho,A,01,011,0111,0111302,classificação semântica,atividade
Milho,milho,0111302,Cultivo de milho,85,milho,A,01,011,0111,0111302,classificação semântica,atividade
Cultivo de milho,cultivo de milho,0111302,Cultivo de milho,90,descricao_completa,A,01,011,0111,0111302,classificação semântica,palavra_chave
Cultivo de trigo,cultivo de trigo,0111303,Cultivo de trigo,100,atividades,A,01,011,0111,0111303,descrição oficial,nome_oficial
Cultivo,cultivo,0111303,Cultivo de trigo,85,cultivo,A,01,011,0111,0111303,atividade agrícola,produto
Cultivo,cultivo,0111303,Cultivo de trigo,85,cultivo,A,01,011,0111,0111303,atividade agrícola,produto
Trigo,trigo,0111303,Cultivo de trigo,85,trigo,A,01,011,0111,0111303,classificação semântica,atividade
Trigo,trigo,0111303,Cultivo de trigo,85,trigo,A,01,011,0111,0111303,classificação semântica,atividade
Cultivo de trigo,cultivo de trigo,0111303,Cultivo de trigo,90,descricao_completa,A,01,011,0111,0111303,classificação semântica,palavra_chave
Cultivo de outros cereais não especificados anteriormente,cultivo de outros cereais não especificados anteriormente,0111399,Cultivo de outros cereais não especificados anteriormente,100,atividades,A,01,011,0111,0111399,descrição oficial,nome_oficial
Cultivo,cultivo,0111399,Cultivo de outros cereais não especificados anteriormente,85,cultivo,A,01,011,0111,0111399,atividade agrícola,produto
Cultivo,cultivo,0111399,Cultivo de outros cereais não especificados anteriormente,85,cultivo,A,01,011,0111,0111399,atividade agrícola,produto
Outros,outros,0111399,Cultivo de outros cereais não especificados anteriormente,85,outros,A,01,011,0111,0111399,classificação semântica,atividade
Outros,outros,0111399,Cultivo de outros cereais não especificados anteriormente,85,outros,A,01,011,0111,0111399,classificação semântica,atividade
Cereais,cereais,0111399,Cultivo de outros cereais não especificados anteriormente,85,cereais,A,01,011,0111,0111399,classificação semântica,atividade
Cereais,cereais,0111399,Cultivo de outros cereais não especificados anteriormente,85,cereais,A,01,011,0111,0111399,classificação semântica,atividade
Especificados,especificados,0111399,Cultivo de outros cereais não especificados anteriormente,85,especificados,A,01,011,0111,0111399,classificação semântica,atividade
Especificados,especificados,0111399,Cultivo de outros cereais não especificados anteriormente,85,especificados,A,01,011,0111,0111399,classificação semântica,atividade
Cultivo de outros cereais não especificados anteriormente,cultivo de outros cereais não especificados anteriormente,0111399,Cultivo de outros cereais não especificados anteriormente,90,descricao_completa,A,01,011,0111,0111399,classificação semântica,palavra_chave
Cultivo de algodão herbáceo,cultivo de algodão herbáceo,0112101,Cultivo de algodão herbáceo,100,atividades,A,01,011,0112,0112101,descrição oficial,nome_oficial
Cultivo,cultivo,0112101,Cultivo de algodão herbáceo,85,cultivo,A,01,011,0112,0112101,atividade agrícola,produto
Cultivo,cultivo,0112101,Cultivo de algodão herbáceo,85,cultivo,A,01,011,0112,0112101,atividade agrícola,produto
Algodão,algodão,0112101,Cultivo de algodão herbáceo,85,algodão,A,01,011,0112,0112101,classificação semântica,atividade
Algodao,algodao,0112101,Cultivo de algodão herbáceo,85,algodão,A,01,011,0112,0112101,classificação semântica,atividade
Herbáceo,herbáceo,0112101,Cultivo de algodão herbáceo,85,herbáceo,A,01,011,0112,0112101,classificação semântica,atividade
Herbaceo,herbaceo,0112101,Cultivo de algodão herbáceo,85,herbáceo,A,01,011,0112,0112101,classificação semântica,atividade
Cultivo de algodão herbáceo,cultivo de algodão herbáceo,0112101,Cultivo de algodão herbáceo,90,descricao_completa,A,01,011,0112,0112101,classificação semântica,palavra_chave
Cultivo de juta,cultivo de juta,0112102,Cultivo de juta,100,atividades,A,01,011,0112,0112102,descrição oficial,nome_oficial
Cultivo,cultivo,0112102,Cultivo de juta,85,cultivo,A,01,011,0112,0112102,atividade agrícola,produto
Cultivo,cultivo,0112102,Cultivo de juta,85,cultivo,A,01,011,0112,0112102,atividade agrícola,produto
Juta,juta,0112102,Cultivo de juta,85,juta,A,01,011,0112,0112102,classificação semântica,atividade
Juta,juta,0112102,Cultivo de juta,85,juta,A,01,011,0112,0112102,classificação semântica,atividade
Cultivo de juta,cultivo de juta,0112102,Cultivo de juta,90,descricao_completa,A,01,011,0112,0112102,classificação semântica,palavra_chave
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,cultivo de outras fibras de lavoura temporária não especificadas anteriormente,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,100,atividades,A,01,011,0112,0112199,descrição oficial,nome_oficial
Cultivo,cultivo,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0112,0112199,atividade agrícola,produto
Cultivo,cultivo,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0112,0112199,atividade agrícola,produto
Outras,outras,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0112,0112199,classificação semântica,atividade
Outras,outras,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0112,0112199,classificação semântica,atividade
Fibras,fibras,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,fibras,A,01,011,0112,0112199,classificação semântica,atividade
Fibras,fibras,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,fibras,A,01,011,0112,0112199,classificação semântica,atividade
Lavoura,lavoura,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0112,0112199,classificação semântica,atividade
Lavoura,lavoura,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0112,0112199,classificação semântica,atividade
Temporária,temporária,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0112,0112199,classificação semântica,atividade
Temporaria,temporaria,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0112,0112199,classificação semântica,atividade
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,cultivo de outras fibras de lavoura temporária não especificadas anteriormente,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,90,descricao_completa,A,01,011,0112,0112199,classificação semântica,palavra_chave
Cultivo de cana-de-açúcar,cultivo de canadeaçúcar,0113000,Cultivo de cana-de-açúcar,100,atividades,A,01,011,0113,0113000,descrição oficial,nome_oficial
Cultivo,cultivo,0113000,Cultivo de cana-de-açúcar,85,cultivo,A,01,011,0113,0113000,atividade agrícola,produto
Cultivo,cultivo,0113000,Cultivo de cana-de-açúcar,85,cultivo,A,01,011,0113,0113000,atividade agrícola,produto
Cana,cana,0113000,Cultivo de cana-de-açúcar,85,cana,A,01,011,0113,0113000,classificação semântica,atividade
Cana,cana,0113000,Cultivo de cana-de-açúcar,85,cana,A,01,011,0113,0113000,classificação semântica,atividade
Açúcar,açúcar,0113000,Cultivo de cana-de-açúcar,85,açúcar,A,01,011,0113,0113000,classificação semântica,atividade
Acucar,acucar,0113000,Cultivo de cana-de-açúcar,85,açúcar,A,01,011,0113,0113000,classificação semântica,atividade
Cultivo de cana-de-açúcar,cultivo de canadeaçúcar,0113000,Cultivo de cana-de-açúcar,90,descricao_completa,A,01,011,0113,0113000,classificação semântica,palavra_chave
Cultivo de fumo,cultivo de fumo,0114800,Cultivo de fumo,100,atividades,A,01,011,0114,0114800,descrição oficial,nome_oficial
Cultivo,cultivo,0114800,Cultivo de fumo,85,cultivo,A,01,011,0114,0114800,atividade agrícola,produto
Cultivo,cultivo,0114800,Cultivo de fumo,85,cultivo,A,01,011,0114,0114800,atividade agrícola,produto
Fumo,fumo,0114800,Cultivo de fumo,85,fumo,A,01,011,0114,0114800,classificação semântica,atividade
Fumo,fumo,0114800,Cultivo de fumo,85,fumo,A,01,011,0114,0114800,classificação semântica,atividade
Cultivo de fumo,cultivo de fumo,0114800,Cultivo de fumo,90,descricao_completa,A,01,011,0114,0114800,classificação semântica,palavra_chave
Cultivo de soja,cultivo de soja,0115600,Cultivo de soja,100,atividades,A,01,011,0115,0115600,descrição oficial,nome_oficial
Cultivo,cultivo,0115600,Cultivo de soja,85,cultivo,A,01,011,0115,0115600,atividade agrícola,produto
Cultivo,cultivo,0115600,Cultivo de soja,85,cultivo,A,01,011,0115,0115600,atividade agrícola,produto
Soja,soja,0115600,Cultivo de soja,85,soja,A,01,011,0115,0115600,classificação semântica,atividade
Soja,soja,0115600,Cultivo de soja,85,soja,A,01,011,0115,0115600,classificação semântica,atividade
Cultivo de soja,cultivo de soja,0115600,Cultivo de soja,90,descricao_completa,A,01,011,0115,0115600,classificação semântica,palavra_chave
Cultivo de amendoim,cultivo de amendoim,0116401,Cultivo de amendoim,100,atividades,A,01,011,0116,0116401,descrição oficial,nome_oficial
Cultivo,cultivo,0116401,Cultivo de amendoim,85,cultivo,A,01,011,0116,0116401,atividade agrícola,produto
Cultivo,cultivo,0116401,Cultivo de amendoim,85,cultivo,A,01,011,0116,0116401,atividade agrícola,produto
Amendoim,amendoim,0116401,Cultivo de amendoim,85,amendoim,A,01,011,0116,0116401,classificação semântica,atividade
Amendoim,amendoim,0116401,Cultivo de amendoim,85,amendoim,A,01,011,0116,0116401,classificação semântica,atividade
Cultivo de amendoim,cultivo de amendoim,0116401,Cultivo de amendoim,90,descricao_completa,A,01,011,0116,0116401,classificação semântica,palavra_chave
Cultivo de girassol,cultivo de girassol,0116402,Cultivo de girassol,100,atividades,A,01,011,0116,0116402,descrição oficial,nome_oficial
Cultivo,cultivo,0116402,Cultivo de girassol,85,cultivo,A,01,011,0116,0116402,atividade agrícola,produto
Cultivo,cultivo,0116402,Cultivo de girassol,85,cultivo,A,01,011,0116,0116402,atividade agrícola,produto
Girassol,girassol,0116402,Cultivo de girassol,85,girassol,A,01,011,0116,0116402,classificação semântica,atividade
Girassol,girassol,0116402,Cultivo de girassol,85,girassol,A,01,011,0116,0116402,classificação semântica,atividade
Cultivo de girassol,cultivo de girassol,0116402,Cultivo de girassol,90,descricao_completa,A,01,011,0116,0116402,classificação semântica,palavra_chave
Cultivo de mamona,cultivo de mamona,0116403,Cultivo de mamona,100,atividades,A,01,011,0116,0116403,descrição oficial,nome_oficial
Cultivo,cultivo,0116403,Cultivo de mamona,85,cultivo,A,01,011,0116,0116403,atividade agrícola,produto
Cultivo,cultivo,0116403,Cultivo de mamona,85,cultivo,A,01,011,0116,0116403,atividade agrícola,produto
Mamona,mamona,0116403,Cultivo de mamona,85,mamona,A,01,011,0116,0116403,classificação semântica,atividade
Mamona,mamona,0116403,Cultivo de mamona,85,mamona,A,01,011,0116,0116403,classificação semântica,atividade
Cultivo de mamona,cultivo de mamona,0116403,Cultivo de mamona,90,descricao_completa,A,01,011,0116,0116403,classificação semântica,palavra_chave
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,100,atividades,A,01,011,0116,0116499,descrição oficial,nome_oficial
Cultivo,cultivo,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0116,0116499,atividade agrícola,produto
Cultivo,cultivo,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0116,0116499,atividade agrícola,produto
Outras,outras,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0116,0116499,classificação semântica,atividade
Outras,outras,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0116,0116499,classificação semântica,atividade
Oleaginosas,oleaginosas,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,oleaginosas,A,01,011,0116,0116499,classificação semântica,atividade
Oleaginosas,oleaginosas,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,oleaginosas,A,01,011,0116,0116499,classificação semântica,atividade
Lavoura,lavoura,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0116,0116499,classificação semântica,atividade
Lavoura,lavoura,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0116,0116499,classificação semântica,atividade
Temporária,temporária,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0116,0116499,classificação semântica,atividade
Temporaria,temporaria,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0116,0116499,classificação semântica,atividade
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,90,descricao_completa,A,01,011,0116,0116499,classificação semântica,palavra_chave
Cultivo de abacaxi,cultivo de abacaxi,0119901,Cultivo de abacaxi,100,atividades,A,01,011,0119,0119901,descrição oficial,nome_oficial
Cultivo,cultivo,0119901,Cultivo de abacaxi,85,cultivo,A,01,011,0119,0119901,atividade agrícola,produto
Cultivo,cultivo,0119901,Cultivo de abacaxi,85,cultivo,A,01,011,0119,0119901,atividade agrícola,produto
Abacaxi,abacaxi,0119901,Cultivo de abacaxi,85,abacaxi,A,01,011,0119,0119901,classificação semântica,atividade
Abacaxi,abacaxi,0119901,Cultivo de abacaxi,85,abacaxi,A,01,011,0119,0119901,classificação semântica,atividade
Cultivo de abacaxi,cultivo de abacaxi,0119901,Cultivo de abacaxi,90,descricao_completa,A,01,011,0119,0119901,classificação semântica,palavra_chave
Cultivo de alho,cultivo de alho,0119902,Cultivo de alho,100,atividades,A,01,011,0119,0119902,descrição oficial,nome_oficial
Cultivo,cultivo,0119902,Cultivo de alho,85,cultivo,A,01,011,0119,0119902,atividade agrícola,produto
Cultivo,cultivo,0119902,Cultivo de alho,85,cultivo,A,01,011,0119,0119902,atividade agrícola,produto
Alho,alho,0119902,Cultivo de alho,85,alho,A,01,011,0119,0119902,classificação semântica,atividade
Alho,alho,0119902,Cultivo de alho,85,alho,A,01,011,0119,0119902,classificação semântica,atividade
Cultivo de alho,cultivo de alho,0119902,Cultivo de alho,90,descricao_completa,A,01,011,0119,0119902,classificação semântica,palavra_chave
Cultivo de batata-inglesa,cultivo de batatainglesa,0119903,Cultivo de batata-inglesa,100,atividades,A,01,011,0119,0119903,descrição oficial,nome_oficial
Cultivo,cultivo,0119903,Cultivo de batata-inglesa,85,cultivo,A,01,011,0119,0119903,atividade agrícola,produto
Cultivo,cultivo,0119903,Cultivo de batata-inglesa,85,cultivo,A,01,011,0119,0119903,atividade agrícola,produto
Batata,batata,0119903,Cultivo de batata-inglesa,85,batata,A,01,011,0119,0119903,classificação semântica,atividade
Batata,batata,0119903,Cultivo de batata-inglesa,85,batata,A,01,011,0119,0119903,classificação semântica,atividade
Inglesa,inglesa,0119903,Cultivo de batata-inglesa,85,inglesa,A,01,011,0119,0119903,classificação semântica,atividade
Inglesa,inglesa,0119903,Cultivo de batata-inglesa,85,inglesa,A,01,011,0119,0119903,classificação semântica,atividade
Cultivo de batata-inglesa,cultivo de batatainglesa,0119903,Cultivo de batata-inglesa,90,descricao_completa,A,01,011,0119,0119903,classificação semântica,palavra_chave
Cultivo de cebola,cultivo de cebola,0119904,Cultivo de cebola,100,atividades,A,01,011,0119,0119904,descrição oficial,nome_oficial
Cultivo,cultivo,0119904,Cultivo de cebola,85,cultivo,A,01,011,0119,0119904,atividade agrícola,produto
Cultivo,cultivo,0119904,Cultivo de cebola,85,cultivo,A,01,011,0119,0119904,atividade agrícola,produto
Cebola,cebola,0119904,Cultivo de cebola,85,cebola,A,01,011,0119,0119904,classificação semântica,atividade
Cebola,cebola,0119904,Cultivo de cebola,85,cebola,A,01,011,0119,0119904,classificação semântica,atividade
Cultivo de cebola,cultivo de cebola,0119904,Cultivo de cebola,90,descricao_completa,A,01,011,0119,0119904,classificação semântica,palavra_chave
Cultivo de feijão,cultivo de feijão,0119905,Cultivo de feijão,100,atividades,A,01,011,0119,0119905,descrição oficial,nome_oficial
Cultivo,cultivo,0119905,Cultivo de feijão,85,cultivo,A,01,011,0119,0119905,atividade agrícola,produto
Cultivo,cultivo,0119905,Cultivo de feijão,85,cultivo,A,01,011,0119,0119905,atividade agrícola,produto
Feijão,feijão,0119905,Cultivo de feijão,85,feijão,A,01,011,0119,0119905,classificação semântica,atividade
Feijao,feijao,0119905,Cultivo de feijão,85,feijão,A,01,011,0119,0119905,classificação semântica,atividade
Cultivo de feijão,cultivo de feijão,0119905,Cultivo de feijão,90,descricao_completa,A,01,011,0119,0119905,classificação semântica,palavra_chave
Cultivo de mandioca,cultivo de mandioca,0119906,Cultivo de mandioca,100,atividades,A,01,011,0119,0119906,descrição oficial,nome_oficial
Cultivo,cultivo,0119906,Cultivo de mandioca,85,cultivo,A,01,011,0119,0119906,atividade agrícola,produto
Cultivo,cultivo,0119906,Cultivo de mandioca,85,cultivo,A,01,011,0119,0119906,atividade agrícola,produto
Mandioca,mandioca,0119906,Cultivo de mandioca,85,mandioca,A,01,011,0119,0119906,classificação semântica,atividade
Mandioca,mandioca,0119906,Cultivo de mandioca,85,mandioca,A,01,011,0119,0119906,classificação semântica,atividade
Cultivo de mandioca,cultivo de mandioca,0119906,Cultivo de mandioca,90,descricao_completa,A,01,011,0119,0119906,classificação semântica,palavra_chave
Cultivo de melão,cultivo de melão,0119907,Cultivo de melão,100,atividades,A,01,011,0119,0119907,descrição oficial,nome_oficial
Cultivo,cultivo,0119907,Cultivo de melão,85,cultivo,A,01,011,0119,0119907,atividade agrícola,produto
Cultivo,cultivo,0119907,Cultivo de melão,85,cultivo,A,01,011,0119,0119907,atividade agrícola,produto
Melão,melão,0119907,Cultivo de melão,85,melão,A,01,011,0119,0119907,classificação semântica,atividade
Melao,melao,0119907,Cultivo de melão,85,melão,A,01,011,0119,0119907,classificação semântica,atividade
Cultivo de melão,cultivo de melão,0119907,Cultivo de melão,90,descricao_completa,A,01,011,0119,0119907,classificação semântica,palavra_chave
Cultivo de melancia,cultivo de melancia,0119908,Cultivo de melancia,100,atividades,A,01,011,0119,0119908,descrição oficial,nome_oficial
Cultivo,cultivo,0119908,Cultivo de melancia,85,cultivo,A,01,011,0119,0119908,atividade agrícola,produto
Cultivo,cultivo,0119908,Cultivo de melancia,85,cultivo,A,01,011,0119,0119908,atividade agrícola,produto
Melancia,melancia,0119908,Cultivo de melancia,85,melancia,A,01,011,0119,0119908,classificação semântica,atividade
Melancia,melancia,0119908,Cultivo de melancia,85,melancia,A,01,011,0119,0119908,classificação semântica,atividade
Cultivo de melancia,cultivo de melancia,0119908,Cultivo de melancia,90,descricao_completa,A,01,011,0119,0119908,classificação semântica,palavra_chave
Cultivo de tomate rasteiro,cultivo de tomate rasteiro,0119909,Cultivo de tomate rasteiro,100,atividades,A,01,011,0119,0119909,descrição oficial,nome_oficial
Cultivo,cultivo,0119909,Cultivo de tomate rasteiro,85,cultivo,A,01,011,0119,0119909,atividade agrícola,produto
Cultivo,cultivo,0119909,Cultivo de tomate rasteiro,85,cultivo,A,01,011,0119,0119909,atividade agrícola,produto
Tomate,tomate,0119909,Cultivo de tomate rasteiro,85,tomate,A,01,011,0119,0119909,classificação semântica,atividade
Tomate,tomate,0119909,Cultivo de tomate rasteiro,85,tomate,A,01,011,0119,0119909,classificação semântica,atividade
Rasteiro,rasteiro,0119909,Cultivo de tomate rasteiro,85,rasteiro,A,01,011,0119,0119909,classificação semântica,atividade
Rasteiro,rasteiro,0119909,Cultivo de tomate rasteiro,85,rasteiro,A,01,011,0119,0119909,classificação semântica,atividade
Cultivo de tomate rasteiro,cultivo de tomate rasteiro,0119909,Cultivo de tomate rasteiro,90,descricao_completa,A,01,011,0119,0119909,classificação semântica,palavra_chave
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,cultivo de outras plantas de lavoura temporária não especificadas anteriormente,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,100,atividades,A,01,011,0119,0119999,descrição oficial,nome_oficial
Cultivo,cultivo,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0119,0119999,atividade agrícola,produto
Cultivo,cultivo,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,cultivo,A,01,011,0119,0119999,atividade agrícola,produto
Outras,outras,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0119,0119999,classificação semântica,atividade
Outras,outras,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,outras,A,01,011,0119,0119999,classificação semântica,atividade
Plantas,plantas,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,plantas,A,01,011,0119,0119999,classificação semântica,atividade
Plantas,plantas,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,plantas,A,01,011,0119,0119999,classificação semântica,atividade
Lavoura,lavoura,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0119,0119999,classificação semântica,atividade
Lavoura,lavoura,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,lavoura,A,01,011,0119,0119999,classificação semântica,atividade
Temporária,temporária,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0119,0119999,classificação semântica,atividade
Temporaria,temporaria,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,85,temporária,A,01,011,0119,0119999,classificação semântica,atividade
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,cultivo de outras plantas de lavoura temporária não especificadas anteriormente,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,90,descricao_completa,A,01,011,0119,0119999,classificação semântica,palavra_chave
"Horticultura, exceto morango",horticultura exceto morango,0121101,"Horticultura, exceto morango",100,atividades,A,01,012,0121,0121101,descrição oficial,nome_oficial
Horticultura,horticultura,0121101,"Horticultura, exceto morango",85,horticultura,A,01,012,0121,0121101,atividade agrícola,produto
Horticultura,horticultura,0121101,"Horticultura, exceto morango",85,horticultura,A,01,012,0121,0121101,atividade agrícola,produto
Morango,morango,0121101,"Horticultura, exceto morango",85,morango,A,01,012,0121,0121101,classificação semântica,atividade
Morango,morango,0121101,"Horticultura, exceto morango",85,morango,A,01,012,0121,0121101,classificação semântica,atividade
"Horticultura, exceto morango",horticultura exceto morango,0121101,"Horticultura, exceto morango",90,descricao_completa,A,01,012,0121,0121101,classificação semântica,palavra_chave
Cultivo de morango,cultivo de morango,0121102,Cultivo de morango,100,atividades,A,01,012,0121,0121102,descrição oficial,nome_oficial
Cultivo,cultivo,0121102,Cultivo de morango,85,cultivo,A,01,012,0121,0121102,atividade agrícola,produto
Cultivo,cultivo,0121102,Cultivo de morango,85,cultivo,A,01,012,0121,0121102,atividade agrícola,produto
Morango,morango,0121102,Cultivo de morango,85,morango,A,01,012,0121,0121102,classificação semântica,atividade
Morango,morango,0121102,Cultivo de morango,85,morango,A,01,012,0121,0121102,classificação semântica,atividade
Cultivo de morango,cultivo de morango,0121102,Cultivo de morango,90,descricao_completa,A,01,012,0121,0121102,classificação semântica,palavra_chave
Cultivo de flores e plantas ornamentais,cultivo de flores e plantas ornamentais,0122900,Cultivo de flores e plantas ornamentais,100,atividades,A,01,012,0122,0122900,descrição oficial,nome_oficial
Cultivo,cultivo,0122900,Cultivo de flores e plantas ornamentais,85,cultivo,A,01,012,0122,0122900,atividade agrícola,produto
Cultivo,cultivo,0122900,Cultivo de flores e plantas ornamentais,85,cultivo,A,01,012,0122,0122900,atividade agrícola,produto
Flores,flores,0122900,Cultivo de flores e plantas ornamentais,85,flores,A,01,012,0122,0122900,classificação semântica,atividade
Flores,flores,0122900,Cultivo de flores e plantas ornamentais,85,flores,A,01,012,0122,0122900,classificação semântica,atividade
Plantas,plantas,0122900,Cultivo de flores e plantas ornamentais,85,plantas,A,01,012,0122,0122900,classificação semântica,atividade
Plantas,plantas,0122900,Cultivo de flores e plantas ornamentais,85,plantas,A,01,012,0122,0122900,classificação semântica,atividade
Ornamentais,ornamentais,0122900,Cultivo de flores e plantas ornamentais,85,ornamentais,A,01,012,0122,0122900,classificação semântica,atividade
Ornamentais,ornamentais,0122900,Cultivo de flores e plantas ornamentais,85,ornamentais,A,01,012,0122,0122900,classificação semântica,atividade
Cultivo de flores e plantas ornamentais,cultivo de flores e plantas ornamentais,0122900,Cultivo de flores e plantas ornamentais,90,descricao_completa,A,01,012,0122,0122900,classificação semântica,palavra_chave
Cultivo de laranja,cultivo de laranja,0131800,Cultivo de laranja,100,atividades,A,01,013,0131,0131800,descrição oficial,nome_oficial
Cultivo,cultivo,0131800,Cultivo de laranja,85,cultivo,A,01,013,0131,0131800,atividade agrícola,produto
Cultivo,cultivo,0131800,Cultivo de laranja,85,cultivo,A,01,013,0131,0131800,atividade agrícola,produto
Laranja,laranja,0131800,Cultivo de laranja,85,laranja,A,01,013,0131,0131800,classificação semântica,atividade
Laranja,laranja,0131800,Cultivo de laranja,85,laranja,A,01,013,0131,0131800,classificação semântica,atividade
Cultivo de laranja,cultivo de laranja,0131800,Cultivo de laranja,90,descricao_completa,A,01,013,0131,0131800,classificação semântica,palavra_chave
Cultivo de uva,cultivo de uva,0132600,Cultivo de uva,100,atividades,A,01,013,0132,0132600,descrição oficial,nome_oficial
Cultivo,cultivo,0132600,Cultivo de uva,85,cultivo,A,01,013,0132,0132600,atividade agrícola,produto
Cultivo,cultivo,0132600,Cultivo de uva,85,cultivo,A,01,013,0132,0132600,atividade agrícola,produto
Uva,uva,0132600,Cultivo de uva,85,uva,A,01,013,0132,0132600,classificação semântica,atividade
Uva,uva,0132600,Cultivo de uva,85,uva,A,01,013,0132,0132600,classificação semântica,atividade
Cultivo de uva,cultivo de uva,0132600,Cultivo de uva,90,descricao_completa,A,01,013,0132,0132600,classificação semântica,palavra_chave
Cultivo de açaí,cultivo de açaí,0133401,Cultivo de açaí,100,atividades,A,01,013,0133,0133401,descrição oficial,nome_oficial
Cultivo,cultivo,0133401,Cultivo de açaí,85,cultivo,A,01,013,0133,0133401,atividade agrícola,produto
Cultivo,cultivo,0133401,Cultivo de açaí,85,cultivo,A,01,013,0133,0133401,atividade agrícola,produto
Açaí,açaí,0133401,Cultivo de açaí,85,açaí,A,01,013,0133,0133401,classificação semântica,atividade
Acai,acai,0133401,Cultivo de açaí,85,açaí,A,01,013,0133,0133401,classificação semântica,atividade
Cultivo de açaí,cultivo de açaí,0133401,Cultivo de açaí,90,descricao_completa,A,01,013,0133,0133401,classificação semântica,palavra_chave
