codigo_cnae,descricao_cnae,secao,divisao,grupo,classe
1411802,,C,14,,
1412601,,C,14,,
1412602,,C,14,,
1412603,,C,14,,
1412699,,C,14,,
1413401,,C,14,,
1413402,,C,14,,
1413499,,C,14,,
1414200,,C,14,,
1510600,,C,15,,
1521100,,C,15,,
1529700,,C,15,,
1531901,,C,15,,
1531902,,C,15,,
1532700,,C,15,,
1533500,,C,15,,
1610201,,C,16,,
1610202,,C,16,,
1610203,,C,16,,
1610204,,C,16,,
1610205,,C,16,,
1621800,,C,16,,
1622601,,C,16,,
1622602,,C,16,,
1623400,,C,16,,
1710900,,C,17,,
1721400,,C,17,,
1722200,,C,17,,
1731100,,C,17,,
1732000,,C,17,,
1733800,,C,17,,
1811301,,C,18,,
1811302,,C,18,,
1811303,,C,18,,
1812100,,C,18,,
1821100,,C,18,,
1822901,,C,18,,
1910100,,C,19,,
1921700,,C,19,,
1922501,,C,19,,
1922502,,C,19,,
2011800,,C,20,,
2012600,,C,20,,
2013400,,C,20,,
2014200,,C,20,,
2019301,,C,20,,
2019399,,C,20,,
2021500,,C,20,,
2022300,,C,20,,
2029100,,C,20,,
2031200,,C,20,,
2032100,,C,20,,
2033900,,C,20,,
2040101,,C,20,,
2040102,,C,20,,
2040103,,C,20,,
2040199,,C,20,,
2051700,,C,20,,
2052500,,C,20,,
2061400,,C,20,,
2062200,,C,20,,
2063100,,C,20,,
2071100,,C,20,,
2072000,,C,20,,
2091600,,C,20,,
2092401,,C,20,,
2092402,,C,20,,
2092403,,C,20,,
2093200,,C,20,,
2094100,,C,20,,
2099199,,C,20,,
2110600,,C,21,,
2121101,,C,21,,
2121102,,C,21,,
2121103,,C,21,,
2122000,,C,21,,
2123800,,C,21,,
2211100,,C,22,,
2212800,,C,22,,
2219500,,C,22,,
2221800,,C,22,,
2222600,,C,22,,
2223400,,C,22,,
2229300,,C,22,,
2311700,,C,23,,
2312500,,C,23,,
2319200,,C,23,,
2320600,,C,23,,
2330301,,C,23,,
2330302,,C,23,,
2330303,,C,23,,
2330304,,C,23,,
2330305,,C,23,,
2411300,,C,24,,
2412100,,C,24,,
2421100,,C,24,,
2422901,,C,24,,
2422902,,C,24,,
2423701,,C,24,,
2423702,,C,24,,
2431800,,C,24,,
2439300,,C,24,,
2441501,,C,24,,
2441502,,C,24,,
2442300,,C,24,,
2443100,,C,24,,
2449101,,C,24,,
2449102,,C,24,,
2449199,,C,24,,
2511000,,C,25,,
2512800,,C,25,,
2513600,,C,25,,
2521700,,C,25,,
2522500,,C,25,,
2531401,,C,25,,
2531402,,C,25,,
2532201,,C,25,,
2532202,,C,25,,
2539000,,C,25,,
2541100,,C,25,,
2542000,,C,25,,
2543800,,C,25,,
2550101,,C,25,,
2550102,,C,25,,
2591800,,C,25,,
2592601,,C,25,,
2592602,,C,25,,
2593400,,C,25,,
2599301,,C,25,,
2599302,,C,25,,
2599399,,C,25,,
2610800,,C,26,,
2621300,,C,26,,
2622100,,C,26,,
2631100,,C,26,,
2632900,,C,26,,
2640000,,C,26,,
2651500,,C,26,,
2652300,,C,26,,
2660400,,C,26,,
2670101,,C,26,,
2670102,,C,26,,
2680900,,C,26,,
2710401,,C,27,,
2710402,,C,27,,
2710403,,C,27,,
2721000,,C,27,,
2722801,,C,27,,
2722802,,C,27,,
2731700,,C,27,,
2732500,,C,27,,
2733300,,C,27,,
2740601,,C,27,,
2740602,,C,27,,
2751100,,C,27,,
2811900,,C,28,,
2812700,,C,28,,
2813500,,C,28,,
2814301,,C,28,,
2814302,,C,28,,
2815101,,C,28,,
2815102,,C,28,,
2821601,,C,28,,
2821602,,C,28,,
2822401,,C,28,,
2822402,,C,28,,
2823200,,C,28,,
2824101,,C,28,,
2824102,,C,28,,
2825900,,C,28,,
2829101,,C,28,,
2829199,,C,28,,
2831300,,C,28,,
2832100,,C,28,,
2833000,,C,28,,
2840200,,C,28,,
2851800,,C,28,,
2852600,,C,28,,
2853400,,C,28,,
2854200,,C,28,,
2859300,,C,28,,
2910701,,C,29,,
2910702,,C,29,,
2910703,,C,29,,
2920401,,C,29,,
2920402,,C,29,,
3011301,,C,30,,
3011302,,C,30,,
3012100,,C,30,,
3031800,,C,30,,
3041500,,C,30,,
3042300,,C,30,,
3050400,,C,30,,
3091100,,C,30,,
3091101,,C,30,,
3091102,,C,30,,
3092000,,C,30,,
3099700,,C,30,,
3101200,,C,31,,
3102100,,C,31,,
3103900,,C,31,,
3104700,,C,31,,
3211601,,C,32,,
3211602,,C,32,,
3211603,,C,32,,
3212400,,C,32,,
3220500,,C,32,,
3230200,,C,32,,
3240001,,C,32,,
3240002,,C,32,,
3240003,,C,32,,
3240099,,C,32,,
3250701,,C,32,,
3250702,,C,32,,
3250703,,C,32,,
3311200,,C,33,,
3312102,,C,33,,
3312103,,C,33,,
3313901,,C,33,,
3314701,,C,33,,
3511500,,D,35,,
3511501,,D,35,,
3512300,,D,35,,
3513100,,D,35,,
3514000,,D,35,,
3520401,,D,35,,
3520402,,D,35,,
3530100,,D,35,,
3600601,,E,36,,
3701100,,E,37,,
3811400,,E,38,,
3812200,,E,38,,
3821100,,E,38,,
3822000,,E,38,,
3831901,,E,38,,
3831999,,E,38,,
3832700,,E,38,,
3839401,,E,38,,
3839499,,E,38,,
3900500,,E,39,,
4110700,,F,41,,
4120400,,F,41,,
4211101,,F,42,,
4211102,,F,42,,
4212000,,F,42,,
4213800,,F,42,,
4221901,,F,42,,
4311801,,F,43,,
4311802,,F,43,,
4312600,,F,43,,
4313400,,F,43,,
4319300,,F,43,,
4321500,,F,43,,
4322301,,F,43,,
4322302,,F,43,,
4322303,,F,43,,
4329101,,F,43,,
4329102,,F,43,,
4329103,,F,43,,
4329104,,F,43,,
4329105,,F,43,,
4330401,,F,43,,
4330402,,F,43,,
4330403,,F,43,,
4330404,,F,43,,
4511101,,G,45,,
4511102,,G,45,,
4511103,,G,45,,
4511104,,G,45,,
4511105,,G,45,,
4511106,,G,45,,
4611700,,G,46,,
4612500,,G,46,,
4613300,,G,46,,
4614100,,G,46,,
4615000,,G,46,,
4616800,,G,46,,
4617600,,G,46,,
4618401,,G,46,,
4618402,,G,46,,
4618403,,G,46,,
4618499,,G,46,,
4619200,,G,46,,
4621400,,G,46,,
4622200,,G,46,,
4623101,,G,46,,
4623102,,G,46,,
4623103,,G,46,,
4623104,,G,46,,
4623105,,G,46,,
4623106,,G,46,,
4623107,,G,46,,
4623108,,G,46,,
4623109,,G,46,,
4623199,,G,46,,
4711301,,G,47,,
4711302,,G,47,,
4712100,,G,47,,
4713001,,G,47,,
4713002,,G,47,,
4713003,,G,47,,
4721101,,G,47,,
4721102,,G,47,,
4721103,,G,47,,
4721104,,G,47,,
4722901,,G,47,,
4722902,,G,47,,
4723700,,G,47,,
4724500,,G,47,,
4729601,,G,47,,
4729602,,G,47,,
4729699,,G,47,,
4911600,,H,49,,
4912401,,H,49,,
4912402,,H,49,,
4912403,,H,49,,
4921301,,H,49,,
4921302,,H,49,,
4922101,,H,49,,
4923001,,H,49,,
4923002,,H,49,,
5011401,,H,50,,
5011402,,H,50,,
5012201,,H,50,,
5012202,,H,50,,
5111100,,H,51,,
5112901,,H,51,,
5112999,,H,51,,
5120000,,H,51,,
5211701,,H,52,,
5211702,,H,52,,
5211799,,H,52,,
5212500,,H,52,,
5221400,,H,52,,
5222200,,H,52,,
5223100,,H,52,,
5229001,,H,52,,
5229002,,H,52,,
5229099,,H,52,,
5310501,,H,53,,
5310502,,H,53,,
5510801,,I,55,,
5510802,,I,55,,
5510803,,I,55,,
5590601,,I,55,,
5611201,,I,56,,
5611202,,I,56,,
5612100,,I,56,,
5620101,,I,56,,
5811500,,J,58,,
5812301,,J,58,,
5812302,,J,58,,
5813100,,J,58,,
5819100,,J,58,,
5911101,,J,59,,
5911102,,J,59,,
5912001,,J,59,,
5912002,,J,59,,
5913800,,J,59,,
5914700,,J,59,,
6010100,,J,60,,
6021700,,J,60,,
6022501,,J,60,,
6022502,,J,60,,
6110801,,J,61,,
6110802,,J,61,,
6110803,,J,61,,
6120501,,J,61,,
6120502,,J,61,,
6201500,,J,62,,
6201501,,J,62,,
6201502,,J,62,,
6202300,,J,62,,
6203100,,J,62,,
6204000,,J,62,,
6311900,,J,63,,
6312000,,J,63,,
6319400,,J,63,,
6391700,,J,63,,
6399200,,J,63,,
6410700,,K,64,,
6421200,,K,64,,
6422100,,K,64,,
6423900,,K,64,,
6431000,,K,64,,
6432800,,K,64,,
6433600,,K,64,,
6434400,,K,64,,
6435201,,K,64,,
6435202,,K,64,,
6511101,,K,65,,
6511102,,K,65,,
6512000,,K,65,,
6520100,,K,65,,
6611801,,K,66,,
6611802,,K,66,,
6611803,,K,66,,
6611804,,K,66,,
6612600,,K,66,,
6810201,,L,68,,
6810202,,L,68,,
6810203,,L,68,,
6911701,,M,69,,
6911702,,M,69,,
6911703,,M,69,,
7010600,,M,70,,
7020400,,M,70,,
7111100,,M,71,,
7112000,,M,71,,
7119701,,M,71,,
7119702,,M,71,,
7119703,,M,71,,
7119704,,M,71,,
7120100,,M,71,,
7210000,,M,72,,
7220700,,M,72,,
7311400,,M,73,,
7312200,,M,73,,
7320300,,M,73,,
7410201,,M,74,,
7410202,,M,74,,
7410203,,M,74,,
7420001,,M,74,,
7420002,,M,74,,
7420003,,M,74,,
7500100,,M,75,,
7711000,,N,77,,
7719501,,N,77,,
7719502,,N,77,,
7719599,,N,77,,
7721700,,N,77,,
7810800,,N,78,,
7820500,,N,78,,
7830200,,N,78,,
7911200,,N,79,,
7912100,,N,79,,
7920200,,N,79,,
8011100,,N,80,,
8011101,,N,80,,
8012900,,N,80,,
8111700,,N,81,,
8112500,,N,81,,
8121400,,N,81,,
8122200,,N,81,,
8130300,,N,81,,
8211300,,N,82,,
8219901,,N,82,,
8219999,,N,82,,
8220200,,N,82,,
8230001,,N,82,,
8230002,,N,82,,
8291100,,N,82,,
8411600,,O,84,,
8412400,,O,84,,
8413200,,O,84,,
8421300,,O,84,,
8422100,,O,84,,
8423000,,O,84,,
8430200,,O,84,,
8511200,,P,85,,
8512100,,P,85,,
8513900,,P,85,,
8520100,,P,85,,
8531700,,P,85,,
8532500,,P,85,,
8610101,,Q,86,,
8610102,,Q,86,,
8621601,,Q,86,,
8621602,,Q,86,,
8622400,,Q,86,,
8630501,,Q,86,,
8630502,,Q,86,,
8711500,,Q,87,,
8712300,,Q,87,,
8800600,,Q,88,,
9001901,,R,90,,
9001902,,R,90,,
9001903,,R,90,,
9101500,,R,91,,
9102301,,R,91,,
9102302,,R,91,,
9103100,,R,91,,
9200301,,R,92,,
9200302,,R,92,,
9200399,,R,92,,
9311500,,R,93,,
9312300,,R,93,,
9313100,,R,93,,
9319101,,R,93,,
9319199,,R,93,,
9411100,,S,94,,
9412000,,S,94,,
9412001,,S,94,,
9511800,,S,95,,
9512600,,S,95,,
9521500,,S,95,,
9529100,,S,95,,
9601701,,S,96,,
9601702,,S,96,,
9601703,,S,96,,
9602501,,S,96,,
9602502,,S,96,,
9700500,,T,97,,
9900800,,U,99,,
0600002,,B,06,060,0600
0600003,,B,06,060,0600
0724301,,B,07,072,0724
0724302,,B,07,072,0724
0725100,,B,07,072,0725
0910601,,B,09,091,0910
0910602,,B,09,091,0910
0910603,,B,09,091,0910
1210101,,C,12,121,1210
1210102,,C,12,121,1210
1210103,,C,12,121,1210
1359600,,C,13,135,1359
1411803,,C,14,141,1411
1411804,,C,14,141,1411
1413403,,C,14,141,1413
1510601,,C,15,151,1510
1510602,,C,15,151,1510
1510603,,C,15,151,1510
1510604,,C,15,151,1510
1510605,,C,15,151,1510
1629301,,C,16,162,1629
1629302,,C,16,162,1629
1710901,,C,17,171,1710
1710902,,C,17,171,1710
1710903,,C,17,171,1710
1741901,,C,17,174,1741
1741902,,C,17,174,1741
1742701,,C,17,174,1742
1742702,,C,17,174,1742
1742799,,C,17,174,1742
1749400,,C,17,174,1749
1813001,,C,18,181,1813
1813099,,C,18,181,1813
1822999,,C,18,182,1822
1830001,,C,18,183,1830
1830002,,C,18,183,1830
1830003,,C,18,183,1830
1911700,,C,19,191,1911
1912500,,C,19,191,1912
1922599,,C,19,192,1922
1931400,,C,19,193,1931
1932200,,C,19,193,1932
2040100,,C,20,204,2040
2073800,,C,20,207,2073
2099101,,C,20,209,2099
2424501,,C,24,242,2424
2424502,,C,24,242,2424
2449103,,C,24,244,2449
2449104,,C,24,244,2449
2449105,,C,24,244,2449
2449106,,C,24,244,2449
2449107,,C,24,244,2449
2449108,,C,24,244,2449
2449109,,C,24,244,2449
2449110,,C,24,244,2449
2449111,,C,24,244,2449
2449112,,C,24,244,2449
2451200,,C,24,245,2451
2452100,,C,24,245,2452
2861500,,C,28,286,2861
2862300,,C,28,286,2862
2863100,,C,28,286,2863
2864000,,C,28,286,2864
2865800,,C,28,286,2865
2866600,,C,28,286,2866
2869100,,C,28,286,2869
3250704,,C,32,325,3250
3250705,,C,32,325,3250
3250706,,C,32,325,3250
3250707,,C,32,325,3250
3250708,,C,32,325,3250
3250709,,C,32,325,3250
3261500,,C,32,326,3261
3262300,,C,32,326,3262
3291400,,C,32,329,3291
3292201,,C,32,329,3292
3292202,,C,32,329,3292
3299001,,C,32,329,3299
3299002,,C,32,329,3299
3299003,,C,32,329,3299
3299004,,C,32,329,3299
3299005,,C,32,329,3299
3299006,,C,32,329,3299
3299099,,C,32,329,3299
3312101,,C,33,331,3312
3511502,,D,35,351,3511
3600604,,E,36,360,3600
3600605,,E,36,360,3600
3701101,,E,37,370,3701
3702901,,E,37,370,3702
3702902,,E,37,370,3702
3900501,,E,39,390,3900
3900502,,E,39,390,3900
4120401,,F,41,412,4120
4120402,,F,41,412,4120
4120403,,F,41,412,4120
4120404,,F,41,412,4120
4930201,,H,49,493,4930
5232000,,H,52,523,5232
5310503,,H,53,531,5310
5320203,,H,53,532,5320
5914600,,J,59,591,5914
5920101,,J,59,592,5920
5920102,,J,59,592,5920
6110899,,J,61,611,6110
6120599,,J,61,612,6120
6130200,,J,61,613,6130
6141800,,J,61,614,6141
6142600,,J,61,614,6142
6143400,,J,61,614,6143
6190601,,J,61,619,6190
6190602,,J,61,619,6190
6190699,,J,61,619,6190
6209100,,J,62,620,6209
0111304,,A,01,,
0111305,,A,01,,
0114801,,A,01,,
0115601,,A,01,,
0115602,,A,01,,
0115603,,A,01,,
0115604,,A,01,,
0116404,,A,01,,
0116405,,A,01,,
0117201,,A,01,,
0117202,,A,01,,
0117203,,A,01,,
0117204,,A,01,,
0117205,,A,01,,
0121103,,A,01,,
0122901,,A,01,,
0122902,,A,01,,
0122903,,A,01,,
0122904,,A,01,,
0122905,,A,01,,
0122906,,A,01,,
